Kadawatha - Kandana	,9.6 km,21 mins,Europe/Berlin,2017-01-12 06:07:19am
Kadawatha- Mudungoda	,10.5 km,15 mins,Europe/Berlin,2017-01-12 06:07:19am
Kaduwela - Biyagama	,0.8 km,2 mins,Europe/Berlin,2017-01-12 06:07:19am
Kandana - Jaela	,4.0 km,7 mins,Europe/Berlin,2017-01-12 06:07:19am
Katunayake - Minuwangoda	,9.1 km,14 mins,Europe/Berlin,2017-01-12 06:07:19am
Ambatale - Biyagama	,5.3 km,11 mins,Europe/Berlin,2017-01-12 06:08:17am
Ambatale - Kaduwela	,4.4 km,10 mins,Europe/Berlin,2017-01-12 06:08:17am
Bambalapitiya - Borella	,3.7 km,13 mins,Europe/Berlin,2017-01-12 06:08:17am
Bambalapitiya - Galleface	,5.2 km,13 mins,Europe/Berlin,2017-01-12 06:08:17am
Borelasgamuwa - Dehiwala	,6.3 km,19 mins,Europe/Berlin,2017-01-12 06:08:17am
Borelasgamuwa - Kohuwala	,5.5 km,14 mins,Europe/Berlin,2017-01-12 06:08:17am
Borelasgamuwa - Maharagama	,3.1 km,8 mins,Europe/Berlin,2017-01-12 06:08:17am
Borella - Galleface	,5.9 km,16 mins,Europe/Berlin,2017-01-12 06:08:17am
Borella - Gothatuwa	,5.7 km,14 mins,Europe/Berlin,2017-01-12 06:08:17am
Borella - Pettah	,3.8 km,12 mins,Europe/Berlin,2017-01-12 06:08:17am
Dehiwala - Bambalapitiya	,5.7 km,14 mins,Europe/Berlin,2017-01-12 06:08:17am
Dehiwala - Kohuwala ,3.7 km,12 mins,Europe/Berlin,2017-01-12 06:08:17am
Galleface - Pettath	,3.5 km,9 mins,Europe/Berlin,2017-01-12 06:08:17am
Gothatuwa - Ambatale	,5.2 km,14 mins,Europe/Berlin,2017-01-12 06:08:17am
Jaela - Katunayaka	,12.2 km,11 mins,Europe/Berlin,2017-01-12 06:08:17am
Jaela - Minuwangoda	,13.7 km,25 mins,Europe/Berlin,2017-01-12 06:08:17am
Kadawatha - Kandana	,9.6 km,21 mins,Europe/Berlin,2017-01-12 06:08:17am
Kadawatha- Mudungoda	,10.5 km,15 mins,Europe/Berlin,2017-01-12 06:08:17am
Kaduwela - Biyagama	,0.8 km,2 mins,Europe/Berlin,2017-01-12 06:08:17am
Kandana - Jaela	,4.0 km,7 mins,Europe/Berlin,2017-01-12 06:08:17am
Katunayake - Minuwangoda	,9.1 km,14 mins,Europe/Berlin,2017-01-12 06:08:17am
